word,len
t̪ a0 h u0 n,5
t̪ a0 h u0,4
t̪ a0 h a0,4
t̪ a0 h a0 n,5
t̪ a0 h a0 r,5
t̪ a0 h a0 t̪,5
t̪ a0 h a0 m,5
t̪ a0 h a0 p,5
t̪ a0 h a0 s,5
t̪ a0 h a0 l,5
t̪ a0 h t̪ a0,5
t̪ a0 u0,3
t̪ a0 n p a0,5
t̪ a0 n p o0,5
t̪ a0 n s a0 h,6
t̪ a0 n s f ə0 r,7
t̪ a0 n s p o0 r,7
t̪ a0 n i0,4
t̪ a0 n i0 s,5
t̪ a0 n i0 ŋ,5
t̪ a0 n i0 k,5
t̪ a0 n i0 n,5
t̪ a0 t̪ a0 h,5
t̪ a0 t̪ a0,4
t̪ a0 t̪ a0 s,5
t̪ a0 t̪ a0 ŋ,5
t̪ a0 t̪ a0 k,5
t̪ a0 t̪ a0 l,5
t̪ a0 t̪ a0 r,5
t̪ a0 t̪ a0 n,5
t̪ a0 t̪ a0 ɡ,5
t̪ a0 t̪ a0 p,5
t̪ a0 t̪ u0,4
t̪ a0 t̪ u0 r,5
t̪ a0 t̪ u0 s,5
t̪ a0 t̪ u0 ŋ,5
t̪ a0 t̪ u0 t̪,5
t̪ a0 t̪ u0 k,5
t̪ a0 t̪ u0 h,5
t̪ a0 t̪ u0 p,5
t̪ a0 t̪ u0 l,5
t̪ a0 m a0,4
t̪ a0 m a0 n,5
t̪ a0 m a0 r,5
t̪ a0 m a0 t̪,5
t̪ a0 m a0 l,5
t̪ a0 m a0 k,5
t̪ a0 m a0 h,5
t̪ a0 m u0 ŋ,5
t̪ a0 m u0 n,5
t̪ a0 m u0,4
t̪ a0 m u0 r,5
t̪ a0 m u0 s,5
t̪ a0 m u0 k,5
t̪ a0 m u0 d̪,5
t̪ a0 m p a0 ŋ,6
t̪ a0 m p a0,5
t̪ a0 m p a0 h,6
t̪ a0 m p a0 r,6
t̪ a0 m p a0 k,6
t̪ a0 m p u0 ŋ,6
t̪ a0 m p u0,5
t̪ a0 m p u0 r,6
t̪ a0 m p u0 s,6
t̪ a0 m p u0 n,6
t̪ a0 m p u0 h,6
t̪ a0 m p u0 l,6
t̪ a0 m p i0 l,6
t̪ a0 m p i0 r,6
t̪ a0 m p i0,5
t̪ a0 m p i0 ŋ,6
t̪ a0 m p i0 k,6
t̪ a0 m p i0 t̪,6
t̪ a0 m p ə0 k,6
t̪ a0 m p ə0 l,6
t̪ a0 m p ə0,5
t̪ a0 m p l o0 p,7
t̪ a0 m p j u0 h,7
t̪ a0 m t̪ u0,5
t̪ a0 m i0,4
t̪ a0 m i0 t̪,5
t̪ a0 m i0 r,5
t̪ a0 m i0 n,5
t̪ a0 m i0 m,5
t̪ a0 m i0 s,5
t̪ a0 m i0 ŋ,5
t̪ a0 m ɛ0 h,5
t̪ a0 m ɛ0 ŋ,5
t̪ a0 p i0 ŋ,5
t̪ a0 p i0 k,5
t̪ a0 p i0,4
t̪ a0 p i0 r,5
t̪ a0 p i0 s,5
t̪ a0 p a0 n,5
t̪ a0 p a0,4
t̪ a0 p a0 k,5
t̪ a0 p a0 t̪,5
t̪ a0 p a0 l,5
t̪ a0 p a0 s,5
t̪ a0 p a0 ŋ,5
t̪ a0 p a0 ɡ,5
t̪ a0 p ə0 l,5
t̪ a0 p ə0 s,5
t̪ a0 p ə0 t̪,5
t̪ a0 p ə0 m,5
t̪ a0 ŋ a0 n,5
t̪ a0 ŋ a0 t̪,5
t̪ a0 ŋ a0,4
t̪ a0 ŋ a0 ŋ,5
t̪ a0 ŋ a0 k,5
t̪ a0 ŋ a0 r,5
t̪ a0 ŋ i0 n,5
t̪ a0 ŋ i0 t̪,5
t̪ a0 ŋ i0 s,5
t̪ a0 ŋ i0,4
t̪ a0 ŋ i0 ŋ,5
t̪ a0 ŋ ə0 t̪,5
t̪ a0 ŋ ə0 l,5
t̪ a0 ŋ ə0 n,5
t̪ a0 ŋ ə0 h,5
t̪ a0 k s i0 h,6
t̪ a0 k s i0,5
t̪ a0 k s u0 d̪,6
t̪ a0 k s ə0 s,6
t̪ a0 k s o0,5
t̪ a0 k s a0,5
t̪ a0 k s ɛ0 s,6
t̪ a0 k o0 n,5
t̪ a0 k o0,4
t̪ a0 k h i0 r,6
t̪ a0 k h l u0 k,7
t̪ a0 k h l u0 l,7
t̪ a0 k h a0 k,6
t̪ a0 k h t̪ a0,6
t̪ a0 k h m a0 t̪,7
t̪ a0 k h m a0 n,7
t̪ a0 k h r a0 h,7
t̪ a0 k t̪ u0,5
t̪ a0 k t̪ o0 r,6
t̪ a0 k t̪ r i0 s,7
t̪ a0 k t̪ r i0,6
t̪ a0 k t̪ i0 f,6
t̪ a0 k t̪ i0 ŋ,6
t̪ a0 k t̪ i0,5
t̪ a0 k t̪ i0 s,6
t̪ a0 k t̪ i0 k,6
t̪ a0 k t̪ ə0 k,6
t̪ a0 k t̪ ɛ0 k,6
t̪ a0 k t̪ a0,5
t̪ a0 k d̪ a0,5
t̪ a0 k d̪ ə0,5
t̪ a0 k d̪ i0 r,6
t̪ a0 k b a0 r,6
t̪ a0 k b a0 c k,7
t̪ a0 k b i0 r,6
t̪ a0 k u0,4
t̪ a0 k u0 ŋ,5
t̪ a0 k u0 p,5
t̪ a0 k u0 l,5
t̪ a0 k u0 b,5
t̪ a0 k u0 t̪,5
t̪ a0 k l u0 k,6
t̪ a0 k l u0 ŋ,6
t̪ a0 k l u0 m,6
t̪ a0 k l i0 m,6
t̪ a0 k ə0 h,5
t̪ a0 k ə0 n,5
t̪ a0 k ə0 m,5
t̪ a0 k ə0 t̪,5
t̪ a0 k ə0,4
t̪ a0 ᶮɟ u0 ŋ,5
t̪ a0 ᶮɟ u0 t̪,5
t̪ a0 ᶮɟ u0 k,5
t̪ a0 ᶮɟ u0 r,5
t̪ a0 ⁿɖ a0,4
t̪ a0 ⁿɖ a0 ŋ,5
t̪ a0 ⁿɖ a0 p,5
t̪ a0 ⁿɖ a0 n,5
t̪ a0 ⁿɖ a0 r,5
t̪ a0 ⁿɖ a0 k,5
t̪ a0 ⁿɖ i0,4
t̪ a0 ⁿɖ i0 ŋ,5
t̪ a0 ⁿɖ o0 n,5
t̪ a0 ⁿɖ u0 t̪,5
t̪ a0 ⁿɖ u0,4
t̪ a0 ᵐb a0 r,5
t̪ a0 ᵐb a0 h,5
t̪ a0 ᵐb a0,4
t̪ a0 ᵐb a0 ŋ,5
t̪ a0 ᵐb a0 l,5
t̪ a0 ᵐb a0 k,5
t̪ a0 ᵐb a0 t̪,5
t̪ a0 ᵐb u0 t̪,5
t̪ a0 ᵐb u0,4
t̪ a0 ᵐb u0 ŋ,5
t̪ a0 ᵐb u0 h,5
t̪ a0 ᵐb u0 r,5
t̪ a0 ᵑɡ a0,4
t̪ a0 ᵑɡ a0 ŋ,5
t̪ a0 ᵑɡ a0 p,5
t̪ a0 ᵑɡ a0 h,5
t̪ a0 ᵑɡ a0 r,5
t̪ a0 ᵑɡ u0 r,5
t̪ a0 ᵑɡ u0 ŋ,5
t̪ a0 ᵑɡ u0 p,5
t̪ a0 ᵑɡ u0,4
t̪ a0 ᵑɡ u0 l,5
t̪ a0 ᵑɡ u0 t̪,5
t̪ a0 ᵑɡ ə0,4
t̪ a0 ᵑɡ ə0 ŋ,5
t̪ a0 ᵑɡ ə0 p,5
t̪ a0 ᵑɡ ə0 r,5
t̪ a0 ᵑɡ ə0 n,5
t̪ a0 ᵑɡ ə0 l,5
t̪ a0 ᵑɡ o0 n,5
t̪ a0 ᵑɡ o0,4
t̪ a0 r i0,4
t̪ a0 r i0 ŋ,5
t̪ a0 r i0 s,5
t̪ a0 r i0 r,5
t̪ a0 r i0 k,5
t̪ a0 r i0 f,5
t̪ a0 r i0 h,5
t̪ a0 r i0 t̪,5
t̪ a0 r u0,4
t̪ a0 r u0 s,5
t̪ a0 r u0 t̪,5
t̪ a0 r u0 ŋ,5
t̪ a0 r u0 m,5
t̪ a0 r u0 b,5
t̪ a0 s i0,4
t̪ a0 s i0 l,5
t̪ a0 s i0 h,5
t̪ a0 s i0 r,5
t̪ a0 s i0 k,5
t̪ a0 s i0 n,5
t̪ a0 s i0 s,5
t̪ a0 s i0 ŋ,5
t̪ a0 s i0 b,5
t̪ a0 s i0 t̪,5
t̪ a0 l i0,4
t̪ a0 l i0 h,5
t̪ a0 l i0 t̪,5
t̪ a0 l i0 k,5
t̪ a0 l i0 ŋ,5
t̪ a0 l i0 n,5
t̪ a0 l i0 b,5
t̪ a0 l i0 s,5
t̪ a0 l i0 m,5
t̪ a0 l a0 m,5
t̪ a0 l a0 h,5
t̪ a0 l a0 n,5
t̪ a0 l a0,4
t̪ a0 l a0 s,5
t̪ a0 l a0 ŋ,5
t̪ a0 l a0 t̪,5
t̪ a0 l a0 r,5
t̪ a0 l a0 k,5
t̪ a0 l a0 l,5
t̪ a0 l a0 p,5
t̪ a0 l ə0 m,5
t̪ a0 l ə0,4
t̪ a0 l ə0 s,5
t̪ a0 l ə0 r,5
t̪ a0 l ə0 h,5
t̪ a0 l ə0 n,5
t̪ a0 l u0 s,5
t̪ a0 l u0 ŋ,5
t̪ a0 l u0 k,5
t̪ a0 l u0,4
t̪ a0 l u0 r,5
t̪ a0 l u0 n,5
t̪ a0 w o0 n,5
t̪ a0 w o0 r,5
t̪ a0 w o0 h,5
t̪ a0 w o0,4
t̪ a0 w a0,4
t̪ a0 w a0 k,5
t̪ a0 w a0 l,5
t̪ a0 w a0 n,5
t̪ a0 w a0 s,5
t̪ a0 w a0 h,5
t̪ a0 w a0 ŋ,5
t̪ a0 w a0 b,5
t̪ a0 w a0 r d̪,6
t̪ a0 w a0 r,5
t̪ a0 w a0 t̪,5
t̪ a0 w a0 m,5
t̪ a0 w a0 f,5
t̪ a0 ⁿd̪ a0,4
t̪ a0 ⁿd̪ a0 r,5
t̪ a0 ⁿd̪ a0 n,5
t̪ a0 ⁿd̪ a0 ŋ,5
t̪ a0 ⁿd̪ a0 l,5
t̪ a0 ⁿd̪ u0 ŋ,5
t̪ a0 ⁿd̪ u0 r,5
t̪ a0 ⁿd̪ u0 m,5
t̪ a0 ⁿd̪ u0 k,5
t̪ a0 ⁿd̪ u0 t̪,5
t̪ a0 ⁿd̪ u0,4
t̪ a0 ⁿd̪ j a0,5
t̪ a0 b ə0 n,5
t̪ a0 b ə0 h,5
t̪ a0 b ə0 l,5
t̪ a0 b i0,4
t̪ a0 b i0 n,5
t̪ a0 b i0 t̪,5
t̪ a0 b i0 l,5
t̪ a0 b i0 s,5
t̪ a0 b i0 r,5
t̪ a0 b u0,4
t̪ a0 b u0 r,5
t̪ a0 b u0 ŋ,5
t̪ a0 b u0 k,5
t̪ a0 b u0 h,5
t̪ a0 b u0 l,5
t̪ a0 b u0 n,5
t̪ a0 b u0 ɡ,5
t̪ a0 b u0 s,5
t̪ a0 d̪ i0 t̪ s,6
t̪ a0 d̪ i0 l,5
t̪ a0 d̪ i0,4
t̪ a0 d̪ i0 ŋ,5
t̪ a0 d̪ i0 s,5
t̪ a0 d̪ i0 s t̪,6
t̪ a0 d̪ i0 k,5
t̪ a0 d̪ i0 r,5
t̪ a0 f s i0 r,6
t̪ a0 f s u0,5
t̪ a0 a0 t̪,4
t̪ a0 o0 n,4
t̪ a0 i0,3
t̪ a0 j u0,4
t̪ a0 j u0 h,5
t̪ a0 j u0 ŋ,5
t̪ a0 j u0 r,5
t̪ a0 j u0 n,5
t̪ a0 j u0 b,5
t̪ a0 ɟ u0,4
t̪ a0 ɟ u0 r,5
t̪ a0 ɟ u0 k,5
t̪ ə0 ᵐb u0 ŋ,5
t̪ ə0 ᵐb u0 ɡ,5
t̪ ə0 ᵐb u0,4
t̪ ə0 ᵐb u0 h,5
t̪ ə0 ᵐb u0 t̪,5
t̪ ə0 ᵐb u0 l,5
t̪ ə0 ᵐb u0 s,5
t̪ ə0 ᵐb u0 n,5
t̪ ə0 ᵐb a0 r,5
t̪ ə0 ᵐb a0 ŋ,5
t̪ ə0 ᵐb a0 h,5
t̪ ə0 ᵐb a0 ɡ,5
t̪ ə0 ᵐb a0 n,5
t̪ ə0 ᵐb a0 b,5
t̪ ə0 ᵐb o0 k,5
t̪ ə0 ᵐb o0 ŋ,5
t̪ ə0 ᵐb ə0 r,5
t̪ ə0 ᵐb ə0,4
t̪ ə0 ᵐb ə0 l,5
t̪ ə0 ᵐb e0,4
t̪ ə0 k a0 n,5
t̪ ə0 k a0,4
t̪ ə0 k a0 r,5
t̪ ə0 k a0 k,5
t̪ ə0 k a0 p,5
t̪ ə0 k a0 t̪,5
t̪ ə0 k a0 s,5
t̪ ə0 k a0 d̪,5
t̪ ə0 k a0 ŋ,5
t̪ ə0 k a0 m,5
t̪ ə0 k n i0 k,6
t̪ ə0 k n i0 s,6
t̪ ə0 k o0 r,5
t̪ ə0 k o0,4
t̪ ə0 k o0 k,5
t̪ ə0 k ə0 l,5
t̪ ə0 k ə0 k,5
t̪ ə0 k ə0 r,5
t̪ ə0 k ə0 n,5
t̪ ə0 k ə0 ŋ,5
t̪ ə0 k ə0 t̪,5
t̪ ə0 k i0 k,5
t̪ ə0 k i0,4
t̪ ə0 t̪ ə0 p,5
t̪ ə0 t̪ ə0 r,5
t̪ ə0 t̪ ə0 ɡ,5
t̪ ə0 t̪ ə0 ŋ,5
t̪ ə0 t̪ ə0 k,5
t̪ ə0 t̪ ə0 l,5
t̪ ə0 t̪ ə0,4
t̪ ə0 t̪ a0 n,5
t̪ ə0 t̪ a0 p,5
t̪ ə0 t̪ a0 k,5
t̪ ə0 t̪ a0,4
t̪ ə0 t̪ a0 h,5
t̪ ə0 t̪ a0 t̪,5
t̪ ə0 t̪ a0 l,5
t̪ ə0 r u0 s,5
t̪ ə0 r u0 h,5
t̪ ə0 r u0 k,5
t̪ ə0 r u0,4
t̪ ə0 r a0 ŋ,5
t̪ ə0 r a0 t̪,5
t̪ ə0 r a0 n,5
t̪ ə0 r a0 s,5
t̪ ə0 r a0 h,5
t̪ ə0 r a0 k,5
t̪ ə0 r a0,4
t̪ ə0 r a0 p,5
t̪ ə0 r b i0 t̪,6
t̪ ə0 r b a0 ŋ,6
t̪ ə0 r b o0 ŋ,6
t̪ ə0 r b u0 k,6
t̪ ə0 r ɟ a0,5
t̪ ə0 r ɟ o0,5
t̪ ə0 r ɟ u0 n,6
t̪ ə0 r i0 ŋ,5
t̪ ə0 r i0 s,5
t̪ ə0 r i0,4
t̪ ə0 r i0 k,5
t̪ ə0 r i0 t̪,5
t̪ ə0 r t̪ i0,5
t̪ ə0 r t̪ i0 b,6
t̪ ə0 r t̪ a0,5
t̪ ə0 r t̪ a0 s,6
t̪ ə0 r t̪ o0 s,6
t̪ ə0 r t̪ u0,5
t̪ ə0 ɡ a0 l,5
t̪ ə0 ɡ a0,4
t̪ ə0 ɡ a0 h,5
t̪ ə0 ɡ a0 t̪,5
t̪ ə0 ɡ a0 n,5
t̪ ə0 ɡ a0 s,5
t̪ ə0 ɡ a0 k,5
t̪ ə0 ɡ ə0 s,5
t̪ ə0 ɡ ə0 r,5
t̪ ə0 ɡ ə0 p,5
t̪ ə0 ɡ ə0 d̪,5
t̪ ə0 ɡ ə0 t̪,5
t̪ ə0 ɡ ə0 m,5
t̪ ə0 ɡ ə0 ŋ,5
t̪ ə0 ɡ u0 h,5
t̪ ə0 ɡ u0 r,5
t̪ ə0 l u0,4
t̪ ə0 l u0 ŋ,5
t̪ ə0 l u0 k,5
t̪ ə0 l u0 m,5
t̪ ə0 l u0 t̪,5
t̪ ə0 l u0 r,5
t̪ ə0 l u0 h,5
t̪ ə0 l a0 r,5
t̪ ə0 l a0 h,5
t̪ ə0 l a0 s,5
t̪ ə0 l a0,4
t̪ ə0 l a0 t̪,5
t̪ ə0 l a0 ŋ,5
t̪ ə0 l a0 k,5
t̪ ə0 l a0 p,5
t̪ ə0 l a0 m,5
t̪ ə0 l ə0 m,5
t̪ ə0 l ə0 ŋ,5
t̪ ə0 l ə0 s,5
t̪ ə0 l ə0 k,5
t̪ ə0 l ə0 h,5
t̪ ə0 m p a0 t̪,6
t̪ ə0 m p a0,5
t̪ ə0 m p a0 h,6
t̪ ə0 m p u0 ŋ,6
t̪ ə0 m p u0 h,6
t̪ ə0 m p u0 r,6
t̪ ə0 m p u0,5
t̪ ə0 m p u0 k,6
t̪ ə0 m p u0 n,6
t̪ ə0 m p u0 l,6
t̪ ə0 m p ə0 t̪,6
t̪ ə0 m p ə0 r,6
t̪ ə0 m p ə0 ŋ,6
t̪ ə0 m p ə0,5
t̪ ə0 m p ə0 l,6
t̪ ə0 m p ə0 k,6
t̪ ə0 m p e0,5
t̪ ə0 m p o0 l,6
t̪ ə0 m p o0,5
t̪ ə0 m p r i0 t̪,7
t̪ ə0 m p r o0 ŋ,7
t̪ ə0 m p i0 t̪,6
t̪ ə0 m p j a0 ŋ,7
t̪ ə0 m p l u0 ŋ,7
t̪ ə0 m a0 h,5
t̪ ə0 m a0 s,5
t̪ ə0 m a0 r,5
t̪ ə0 m a0 ŋ,5
t̪ ə0 m a0 k,5
t̪ ə0 m a0,4
t̪ ə0 m a0 m,5
t̪ ə0 m a0 n,5
t̪ ə0 m ə0 n,5
t̪ ə0 m ə0 ŋ,5
t̪ ə0 m ə0 h,5
t̪ ə0 m ə0 s,5
t̪ ə0 m o0 t̪,5
t̪ ə0 m o0 n,5
t̪ ə0 m o0 h,5
t̪ ə0 m o0,4
t̪ ə0 m u0,4
t̪ ə0 m u0 d̪,5
t̪ ə0 m u0 ŋ,5
t̪ ə0 m u0 t̪,5
t̪ ə0 m u0 k,5
t̪ ə0 m t̪ u0,5
t̪ ə0 n a0,4
t̪ ə0 n a0 ŋ,5
t̪ ə0 n a0 n,5
t̪ ə0 n a0 k,5
t̪ ə0 n a0 l,5
t̪ ə0 n a0 r,5
t̪ ə0 n a0 h,5
t̪ ə0 n a0 m,5
t̪ ə0 n t̪ i0 ŋ,6
t̪ ə0 n t̪ i0,5
t̪ ə0 n t̪ i0 r,6
t̪ ə0 n t̪ i0 l,6
t̪ ə0 n t̪ r i0,6
t̪ ə0 n t̪ r i0 m,7
t̪ ə0 n t̪ r ə0 m,7
t̪ ə0 n t̪ r a0,6
t̪ ə0 n t̪ r a0 l,7
t̪ ə0 n t̪ u0 k,6
t̪ ə0 n t̪ u0,5
t̪ ə0 n t̪ a0 ŋ,6
t̪ ə0 n t̪ a0 s,6
t̪ ə0 n t̪ a0 h,6
t̪ ə0 n t̪ a0 l,6
t̪ ə0 n t̪ ə0 ŋ,6
t̪ ə0 n t̪ ə0 k,6
t̪ ə0 n t̪ ə0 n,6
t̪ ə0 n t̪ ə0 s,6
t̪ ə0 n t̪ ɛ0 k,6
t̪ ə0 n i0,4
t̪ ə0 n i0 s,5
t̪ ə0 n i0 t̪,5
t̪ ə0 n i0 ŋ,5
t̪ ə0 n i0 k,5
t̪ ə0 ŋ ə0 n,5
t̪ ə0 ŋ ə0 r,5
t̪ ə0 ŋ ə0 t̪,5
t̪ ə0 p a0 ŋ,5
t̪ ə0 p a0 t̪,5
t̪ ə0 p a0 k,5
t̪ ə0 p a0 s,5
t̪ ə0 p a0 n,5
t̪ ə0 p a0,4
t̪ ə0 p u0 r,5
t̪ ə0 p u0 h,5
t̪ ə0 p u0 ŋ,5
t̪ ə0 p u0 n,5
t̪ ə0 p i0,4
t̪ ə0 p l o0 k,6
t̪ ə0 b u0,4
t̪ ə0 b u0 t̪,5
t̪ ə0 b u0 l,5
t̪ ə0 b u0 n,5
t̪ ə0 b u0 r,5
t̪ ə0 b u0 s,5
t̪ ə0 b i0 h,5
t̪ ə0 b i0 ŋ,5
t̪ ə0 u0,3
t̪ ə0 ɖ a0 k,5
t̪ ə0 ɖ a0 ŋ,5
t̪ ə0 ɖ a0 r,5
t̪ ə0 ɖ a0 h,5
t̪ ə0 ɖ a0,4
t̪ ə0 w a0 t̪,5
t̪ ə0 w a0,4
t̪ ə0 w a0 n,5
t̪ ə0 w a0 s,5
t̪ ə0 w a0 h,5
t̪ ə0 s i0 r,5
t̪ ə0 s i0 n,5
t̪ ə0 s i0,4
t̪ ə0 s i0 k,5
t̪ ə0 s i0 h,5
t̪ ə0 a0 k,4
t̪ ə0 a0 m,4
t̪ ə0 j ə0 ŋ,5
t̪ i0 j a0 ŋ,5
t̪ i0 j a0,4
t̪ i0 j a0 n,5
t̪ i0 j a0 r,5
t̪ i0 j a0 t̪,5
t̪ i0 j a0 m,5
t̪ i0 d̪ a0 k,5
t̪ i0 d̪ a0 ŋ,5
t̪ i0 d̪ a0,4
t̪ i0 d̪ a0 h,5
t̪ i0 d̪ u0 p,5
t̪ i0 d̪ u0 ŋ,5
t̪ i0 d̪ u0 l,5
t̪ i0 d̪ u0 r,5
t̪ i0 d̪ u0 m,5
t̪ i0 m u0 r,5
t̪ i0 m u0 n,5
t̪ i0 m n a0 s,6
t̪ i0 m a0 m,5
t̪ i0 m a0,4
t̪ i0 m a0 ŋ,5
t̪ i0 m a0 n,5
t̪ i0 m a0 h,5
t̪ i0 m a0 t̪,5
t̪ i0 m ə0,4
t̪ i0 m ə0 r,5
t̪ i0 m ə0 t̪,5
t̪ i0 m ə0 n,5
t̪ i0 ⁿd̪ a0 k,5
t̪ i0 ⁿd̪ a0 h,5
t̪ i0 ɡ a0,4
t̪ i0 ɡ a0 ŋ,5
t̪ i0 ɡ r a0,5
t̪ i0 ɡ r a0 n,6
t̪ i0 ɡ r i0 s,6
t̪ i0 l a0 ŋ,5
t̪ i0 l a0 r,5
t̪ i0 l a0,4
t̪ i0 l a0 s,5
t̪ i0 l a0 t̪,5
t̪ i0 l a0 h,5
t̪ i0 l a0 l,5
t̪ i0 l ə0,4
t̪ i0 l ə0 n,5
t̪ i0 l ə0 m,5
t̪ i0 l ə0 k,5
t̪ i0 l p u0 n,6
t̪ i0 ᵑɡ i0 r,5
t̪ i0 ᵑɡ i0,4
t̪ i0 ᵑɡ i0 l,5
t̪ i0 ᵑɡ i0 h,5
t̪ i0 ᵑɡ i0 t̪,5
t̪ i0 ᵑɡ a0 l,5
t̪ i0 ᵑɡ a0,4
t̪ i0 ᵑɡ a0 h,5
t̪ i0 ᵑɡ a0 t̪,5
t̪ i0 ᵑɡ a0 ŋ,5
t̪ i0 b a0,4
t̪ i0 b a0 n,5
t̪ i0 b a0 r,5
t̪ i0 ŋ k a0 t̪,6
t̪ i0 ŋ k a0 h,6
t̪ i0 ŋ k i0 ŋ,6
t̪ i0 ŋ k i0 h,6
t̪ i0 ŋ k ə0 s,6
t̪ i0 ŋ k u0 p,6
t̪ i0 ŋ k u0 r,6
t̪ i0 t̪ a0 b,5
t̪ i0 t̪ a0,4
t̪ i0 t̪ a0 h,5
t̪ i0 t̪ a0 m,5
t̪ i0 t̪ a0 r,5
t̪ i0 t̪ a0 n,5
t̪ i0 t̪ i0,4
t̪ i0 t̪ i0 k,5
t̪ i0 t̪ i0 h,5
t̪ i0 t̪ i0 s,5
t̪ i0 t̪ i0 ŋ,5
t̪ i0 t̪ ə0 m,5
t̪ i0 t̪ ə0 r,5
t̪ i0 t̪ ə0 l,5
t̪ i0 t̪ ə0,4
t̪ i0 k u0,4
t̪ i0 k u0 s,5
t̪ i0 k u0 t̪,5
t̪ i0 k u0 l,5
t̪ i0 k u0 m,5
t̪ i0 k ə0 l,5
t̪ i0 k ə0 p,5
t̪ i0 k ə0 t̪,5
t̪ i0 w a0 k,5
