word,len
d ɔː0 m u0,4
d ɔː0 m u0 l,5
d ɔː0 m a0 m,5
d ɔː0 m a0,4
d ɔː0 m a0 l,5
d ɔː0 m i0,4
d ɔː0 l ɛ0,4
d ɔː0 l ɛ0 m,5
d ɔː0 l ɛ0 j,5
d ɔː0 l ɛː0 m,5
d ɔː0 l ɛː0 l,5
d ɔː0 l ɛː0,4
d ɔː0 l ɛː0 k,5
d ɔː0 t u0 l,5
d ɔː0 t u0,4
d ɔː0 n t ɛ0,5
d ɔː0 n t ɔː0,5
d ɔː0 n ɔː0 n,5
d ɔː0 n ɔː0,4
d ɔː0 n ɔː0 m,5
d ɔː0 n ɛ0,4
d ɔː0 n u0,4
d ɔː0 n u0 l,5
d ɔː0 n u0 b,5
d ɔː0 n i0,4
d ɔː0 ɾ a0,4
d ɔː0 ɾ ɛ0,4
d ɔː0 ɾ ɛː0,4
d a0 ɲ u0,4
d a0 ɲ u0 j,5
d a0 ɲ ɔː0,4
d a0 ɲ ɔː0 n,5
d a0 ɲ ɔː0 k,5
d a0 ɲ a0,4
d a0 ɲ a0 l,5
d a0 f a0 j,5
d a0 f a0 ɲ,5
d a0 f a0 ɾ,5
d a0 f a0 l,5
d a0 f aː0 n,5
d a0 f aː0,4
d a0 m a0 j,5
d a0 m a0,4
d a0 m a0 l,5
d a0 m a0 m,5
d a0 m a0 n,5
d a0 m a0 ɡ,5
d a0 m a0 b,5
d a0 m a0 t,5
d a0 m a0 w,5
d a0 m aː0,4
d a0 m aː0 t,5
d a0 m u0 l,5
d a0 m u0,4
d a0 m u0 ɡ,5
d a0 m u0 t,5
d a0 m ɔː0 n,5
d a0 m ɔː0,4
d a0 m ɔː0 m,5
d a0 l ɛ0,4
d a0 l a0 l,5
d a0 l a0,4
d a0 l a0 ɡ,5
d a0 l a0 m,5
d a0 l a0 n,5
d a0 l a0 j,5
d a0 l a0 b,5
d a0 l u0,4
d a0 l u0 b,5
d a0 l u0 ɡ,5
d a0 l u0 l,5
d a0 l ɔː0 n,5
d a0 l ɔː0,4
d a0 l ɛː0,4
d a0 l ɛː0 m,5
d a0 l i0,4
d a0 l i0 sː,5
d a0 l i0 t,5
d a0 ᵑɡ a0,4
d a0 ᵑɡ a0 j,5
d a0 ᵑɡ a0 m,5
d a0 ᵑɡ ɛː0 n,5
d a0 ᵑɡ ɛː0,4
d a0 ᵑɡ aː0,4
d a0 ᵑɡ aː0 j,5
d a0 n u0,4
d a0 n u0 j,5
d a0 n u0 l,5
