word,len
ɡ ə0 n,3
ɡ ə0 ŋ,3
ɡ ə0,2
ɡ i0 r l s,5
ɡ i0 r l,4
ɡ j a0,3
ɡ ɛ0 n,3
d̪ ə0,2
d̪ ə0 n,3
d̪ ə0 r,3
d̪ ə0 l,3
d̪ ə0 k,3
d̪ ə0 s,3
d̪ ə0 h,3
d̪ a0 t̪,3
d̪ a0 k,3
d̪ a0,2
d̪ a0 b,3
d̪ a0 s,3
d̪ u0 k,3
d̪ u0 r,3
d̪ u0 h,3
d̪ u0,2
d̪ j a0 h,4
d̪ w i0,3
d̪ r u0 m,4
d̪ o0 m,3
d̪ o0 ŋ,3
d̪ o0 n,3
d̪ o0 l,3
d̪ o0,2
ᵐb a0 h,3
ᵐb a0 k,3
ᵐb o0 k,3
ᵐb u0 h,3
ə0,1
ə0 h,2
ə0 n,2
ə0 s,2
ə0 l,2
ə0 t̪,2
ə0 k s,3
ʈ ə0,2
ʈ o0 k,3
ʈ o0,2
ʈ a0,2
b i0 n,3
b i0 s,3
b i0,2
b i0 t̪,3
b i0 ɡ,3
b i0 r,3
b l o0 ɡ,4
b l o0 k,4
b l a0 s,4
b l a0 c k,5
b l a0,3
b a0 ⁿd̪,3
b a0 l,3
b a0 n k,4
b a0 n,3
b a0 r,3
b a0 ŋ,3
b a0,2
b a0 s,3
b a0 s s,4
b a0 h,3
b a0 k,3
b u0,2
b u0 ŋ,3
b u0 s,3
b u0 n,3
b ə0 n,3
b ə0 n ɲ,4
b ə0,2
b ə0 k,3
b o0 m,3
b o0 k,3
b o0 j,3
b r o0 w n,5
ᵑɡ i0 h,3
ᵑɡ o0,2
ᵑɡ o0 n,3
ᵑɡ a0 k,3
ᵑɡ ə0 r,3
u0,1
u0 s,2
u0 m,2
u0 n,2
ɖ ə0 k,3
ɖ ə0 n,3
ɖ u0 h,3
ɖ ɛ0 k,3
ɖ a0,2
ɖ o0 ŋ,3
ᶮɟ u0 r,3
ᶮɟ i0 h,3
ɲ a0 ŋ,3
ɲ a0,2
ɲ i0,2
ɲ o0 ŋ,3
ɛ0 s,2
c a0 k,3
c a0 h,3
c a0,2
c a0 p,3
c a0 t̪,3
c o0 m,3
c o0,2
c o0 p j,4
c u0 p,3
c l u0 b,4
c ɛ0 t̪,3
c ə0 k,3
c ə0 t̪,3
c r a0 h,4
ⁿd̪ a0 k,3
ⁿd̪ a0 ŋ,3
ⁿd̪ a0 s h,4
ⁿd̪ ə0 k,3
ⁿd̪ u0 k,3
e0,1
ŋ a0,2
ⁿɖ ə0 k,3
ⁿɖ u0 k,3
