word,len
b i0 ʈː u0,4
b i0 ʈː a0,4
b i0 ʈː a0 r,5
b i0 ʈː e0,4
b i0 ʈː i0,4
b i0 ʈː uː0,4
b i0 ɖ i0,4
b i0 ɖ u0,4
b i0 ɖ r i0,5
b i0 ɖ r iː0,5
b i0 ɖ a0,4
b i0 ɖ t̪ u0,5
b i0 ɖ t̪ a0,5
b i0 ɖ t̪ e0,5
b i0 ɖ t̪ aː0,5
b i0 ɖ oː0,4
b i0 ɖ eː0,4
b i0 d̪ː u0,4
b i0 d̪ː a0,4
b i0 d̪ː e0,4
b i0 d̪ː uː0,4
b i0 s i0,4
b i0 s i0 k s,6
b i0 s k e0 ʈ,6
b i0 s k oː0,5
b i0 ɭ i0,4
b i0 ɭ iː0,4
b i0 t̪ː u0,4
b i0 t̪ː i0,4
b i0 tʃː i0,4
b i0 ʈ r e0,5
b i0 ʈ r u0,5
b i0 ʈ r i0,5
b i0 ʈ i0 ʂ,5
b i0 ʈ i0,4
b i0 lː u0,4
b i0 l aː0 s,5
b i0 l aː0,4
b i0 l ɖ i0 n ɡ,7
b i0 l ɖ i0 n ɡ s,8
b i0 l k u0 l,6
b i0 kː i0,4
b i0 n d̪ u0,5
b i0 n d̪ a0,5
b i0 n d̪ i0,5
b i0 n d̪ uː0,5
b i0 n d̪ iː0,5
b i0 n d̪ eː0,5
b i0 n d̪ aː0 l,6
b i0 n d̪ e0,5
b i0 n d̪ r aː0,6
b i0 n d̪ r a0,6
b i0 n d̪ r e0,6
b i0 n k e0,5
b i0 n k a0,5
b i0 n k u0,5
b i0 ɡ i0,4
b i0 m b a0,5
b i0 m b e0,5
b i0 m b u0,5
b i0 j a0,4
b i0 j a0 l,5
b i0 j a0 r,5
b i0 j a0 ʈ,5
b i0 k e0 ʈ,5
b i0 k e0,4
b i0 k oː0,4
b i0 k ʂ e0,5
b i0 k ʂ aː0,5
b i0 k o0,4
b i0 dʒ i0,4
b i0 r u0,4
b i0 d̪ a0,4
b i0 d̪ r e0,5
b i0 d̪ r u0,5
b i0 d̪ r uː0,5
b i0 d̪ r i0,5
b i0 d̪ r a0,5
b i0 d̪ r aː0,5
b eː0 k u0,4
b eː0 k eː0,4
b eː0 k oː0,4
b eː0 k e0,4
b eː0 k aː0,4
b eː0 k a0,4
b eː0 k a0 p,5
b eː0 k uː0,4
b eː0 ɖ a0,4
b eː0 ɖ a0 n,5
b eː0 ɖ a0 m,5
b eː0 ɖ a0 r,5
b eː0 ɖ i0,4
b eː0 ɖ aː0,4
b eː0 ɖ ʋ aː0,5
b eː0 ɖ k a0 r,6
b eː0 ɡ a0,4
b eː0 ɡ a0 n,5
b eː0 ɡ e0,4
b eː0 n d̪ r a0,6
b eː0 n d̪ r e0,6
b eː0 n d̪ u0,5
b eː0 r u0,4
b eː0 r eː0,4
b eː0 ɭ e0,4
b eː0 l i0,4
b eː0 l i0 n,5
b eː0 dʒ aː0 r,5
b eː0 dʒ aː0 n,5
b eː0 ʋ u0,4
b eː0 ʈ e0,4
b eː0 ʈ e0 s ʈ,6
b eː0 ʈ i0,4
b eː0 ʈ i0 n ɡ,6
b eː0 ʈ aː0,4
b eː0 b i0,4
b eː0 d̪ʱ a0,4
b eː0 t̪ e0,4
b a0 n t̪ u0,5
b a0 n t̪ aː0,5
b a0 n t̪ uː0,5
b a0 n t̪ a0,5
b a0 n t̪ a0 r,6
b a0 n t̪ r a0,6
b a0 n t̪ r i0,6
b a0 n t̪ e0,5
