word,len
j a0,2
j ʌ0,2
j ʌ0 l,3
j ʌ0 ŋ,3
j ʌ0 pʰ,3
j ʌ0 n,3
j ʌ0 k,3
j e0,2
j e0 s,3
j o0 p,3
j o0,2
j o0 k,3
j o0 ŋ,3
j u0,2
j u0 n,3
p͈ a0 ŋ,3
p͈ u0 n,3
p͈ ʌ0 n,3
p͈ ɛ0 n,3
p͈ ɛ0,2
p͈ j a0 m,4
t͈ a0 k,3
t͈ a0 ŋ,3
t͈ a0 l,3
t͈ a0 n,3
t͈ ɛ0 n,3
t͈ e0 l,3
t͈ o0 k,3
t͈ ɨ0 s,3
t͈ ɨ0 l,3
t͈ ɨ0 n,3
t͈ ʌ0 k,3
t͈ ʌ0,2
t͈ u0 k,3
s͈ ɨ0 n,3
s͈ ɨ0 l,3
s͈ ʌ0,2
s͈ i0,2
s͈ i0 k,3
s͈ a0 n,3
s͈ a0 k,3
s͈ a0 l,3
s͈ o0 k,3
t͈ʃ o0 k,3
t͈ʃ u0 k,3
t͈ʃ ɨ0 m,3
t͈ʃ a0 n,3
t͈ʃ ɛ0,2
ʌ0 k,2
ʌ0,1
ʌ0 p s,3
i0 n,2
i0 s͈,2
i0 p,2
i0 m,2
i0 s,2
ø0,1
tʰ i0 p,3
tʰ i0 m,3
tʰ i0,2
tʰ o0,2
tʰ o0 ŋ,3
tʰ o0 n,3
tʰ o0 m,3
tʰ o0 p,3
tʰ a0 n,3
tʰ a0 l,3
tʰ a0,2
tʰ a0 p,3
tʰ a0 k,3
tʰ ʌ0 l,3
tʰ ʌ0 n,3
tʰ ʌ0 k,3
tʰ u0,2
tʰ u0 l,3
tʰ ɛ0 p,3
tʰ ɨ0 m,3
pʰ j ʌ0 n,4
pʰ j ʌ0 ŋ,4
pʰ j o0,3
pʰ ʌ0 m,3
pʰ ʌ0,2
pʰ a0,2
pʰ a0 l,3
pʰ a0 n,3
pʰ a0 k,3
pʰ i0,2
pʰ i0 n,3
pʰ i0 l,3
pʰ u0 k,3
pʰ u0 l,3
pʰ u0 n,3
pʰ o0 l,3
pʰ o0,2
pʰ o0 n,3
pʰ o0 k,3
pʰ ɛ0 n,3
pʰ ɛ0 k,3
ɛ0 p,2
ɛ0 n,2
ɛ0,1
kʰ ʌ0 s,3
kʰ ʌ0 p,3
kʰ ʌ0,2
kʰ i0,2
kʰ i0 ŋ,3
kʰ o0,2
kʰ a0 n,3
kʰ a0 l,3
kʰ a0,2
kʰ ɨ0 l,3
u0 l,2
u0,1
u0 n,2
