word,len
j a0 m,3
j a0 t̪,3
j a0 k,3
j a0 n,3
j a0 l,3
j u0 t̪,3
j u0,2
j i0,2
j i0 n,3
j aː0,2
j aː0 m,3
j aː0 n,3
j aː0 n g,4
j oː0 b,3
j oː0 r k,4
j oː0 k,3
j eː0,2
j eː0 l,3
j uː0,2
j uː0 d̪,3
j e0 n,3
j æ0 n g,4
j iː0,2
j iː0 s ʈ,4
j æː0 m,3
m u0 l,3
m u0 t̪,3
m u0 n,3
m a0,2
m a0 l,3
m a0 s,3
m a0 ʋ,3
m a0 t̪,3
m a0 k,3
m a0 n,3
m e0 n,3
m e0,2
m iː0,2
m iː0 r,3
m aː0,2
m aː0 k,3
m aː0 k s,4
m aː0 r k,4
m aː0 r s,4
m aː0 r ʈ,4
m aː0 t̪,3
m aː0 s,3
m i0,2
m i0 n,3
m i0 n g,4
m i0 l,3
m i0 g,3
m æ0 k s,4
m æ0 k,3
m æ0 n,3
m æ0,2
m æː0 n,3
m æː0,2
m o0 n,3
m o0 n s,4
m eː0 l,3
m eː0 s,3
m eː0 ʈ,3
m eː0 t̪,3
m oː0 l,3
m oː0 r,3
m uː0 l,3
h i0,2
h i0 s,3
h i0 l,3
h i0 n,3
h i0 p,3
h i0 t̪,3
h a0,2
h a0 t̪,3
h a0 l,3
h a0 n,3
h a0 n ʈ,4
h a0 m s,4
h a0 m,3
h a0 f s,4
h a0 k,3
h a0 r,3
h a0 r ʈ,4
h a0 ʈ s,4
h o0 t̪,3
h o0,2
h o0 p,3
h iː0,2
h iː0 n,3
h eː0,2
h eː0 n,3
h eː0 ɖ n,4
h æ0,2
h æ0 n,3
h æ0 n s,4
h æ0 l,3
h oː0 l,3
h oː0 p,3
h oː0 m s,4
h oː0 m,3
h oː0 r n,4
h u0,2
h u0 k,3
h u0 n,3
h u0 ɖ,3
h aː0 l,3
h aː0 n s,4
h e0 k,3
h e0,2
h e0 l,3
h æː0 n,3
h æː0 n s,4
h r i0 t̪,4
g a0 t̪,3
g a0 l,3
g a0 l f,4
g a0 s,3
g a0 m,3
g a0,2
g a0 r ɖ l,5
g eː0,2
g eː0 ʈ,3
g eː0 ʈ s,4
g eː0 m s,4
g o0 s,3
g o0 k,3
g o0 l f,4
g o0 n,3
g e0 n,3
g e0,2
g e0 s ʈ,4
g iː0,2
g r æː0 m,4
g r æː0,3
g r æː0 n k,5
g r æː0 n ɖ,5
g r iː0 n,4
g r iː0 k,4
g r a0,3
g r eː0 s,4
g r eː0 ʈ,4
g æ0 b,3
g æ0 l,3
g æ0,2
g æː0 s,3
g æː0,2
g l oː0 b,4
g l aː0 s,4
g aː0,2
g aː0 l,3
g oː0 l,3
g oː0 l ɖ n,5
g oː0 l ɖ,4
g oː0,2
g oː0 s,3
g i0 b s,4
g i0,2
k r i0,3
k r i0 s,4
k r i0 k,4
k r a0,3
k r iː0 m,4
k r iː0 ʈ,4
k r oː0,3
k a0,2
k a0 l,3
k a0 m,3
k a0 n,3
k a0 r,3
k a0 r k,4
k a0 t̪,3
k a0 p,3
k a0 ʈ,3
k i0,2
k i0 n,3
k iː0,2
k iː0 ʈ s,4
k iː0 ʈ,3
k iː0 l,3
k u0 r,3
k u0,2
k u0 k,3
k u0 t̪,3
k u0 ʃ,3
k u0 tʃ,3
k d̪ a0,3
k o0 s,3
k o0 t̪,3
k o0 n,3
k aː0 n,3
k aː0 n ʈ,4
k aː0 ɖ,3
k aː0 l,3
k aː0,2
k aː0 r,3
k aː0 r l s,5
k aː0 r l,4
k eː0,2
k eː0 ʈ,3
k eː0 p,3
k m a0,3
k e0 s,3
k e0 r,3
k æː0,2
k æː0 m,3
k l aː0 k,4
k l aː0 r k,5
k l eː0,3
k l i0 k,4
k l a0 b,4
k l iː0,3
k oː0 s ʈ,4
k oː0 l,3
k oː0 r ʈ s,5
k oː0,2
k oː0 k,3
k oː0 ʈ,3
k ʋ aː0 k,4
k ʋ i0 n,4
k ʋ uː0,3
k ʋ a0,3
k æ0 n,3
d̪ eː0,2
d̪ eː0 t̪,3
d̪ æ0 n,3
d̪ æ0 k,3
d̪ æ0 l,3
d̪ æ0,2
d̪ u0 n,3
d̪ u0 k,3
d̪ u0 m,3
d̪ u0,2
d̪ i0,2
d̪ i0 k,3
d̪ i0 s,3
d̪ i0 t̪,3
d̪ aː0,2
d̪ aː0 m,3
d̪ æː0,2
d̪ æː0 t̪,3
d̪ æː0 s,3
d̪ æː0 n,3
d̪ o0 s,3
d̪ o0 n,3
d̪ o0 n g,4
d̪ o0 m,3
d̪ a0 t̪,3
d̪ a0 m,3
d̪ a0 n,3
d̪ a0 k,3
d̪ ʋ i0,3
d̪ ʋ iː0,3
d̪ e0 ʋ,3
d̪ e0,2
d̪ e0 s,3
d̪ iː0 m,3
d̪ iː0 t̪,3
d̪ uː0,2
d̪ oː0,2
d̪ r a0,3
ʋ a0,2
ʋ a0 m,3
ʋ a0 l,3
ʋ a0 t̪,3
ʋ a0 s,3
ʋ a0 n,3
ʋ a0 k,3
ʋ a0 r l,4
ʋ a0 r l ɖ,5
ʋ a0 r k,4
ʋ a0 r t̪,4
ʋ a0 p,3
ʋ e0 n,3
ʋ e0 b,3
ʋ e0 s,3
ʋ e0 s ʈ,4
ʋ e0,2
ʋ e0 t̪,3
ʋ e0 l,3
ʋ iː0 m,3
ʋ iː0 k,3
ʋ i0,2
ʋ i0 l,3
ʋ i0 t̪,3
ʋ i0 m,3
ʋ i0 n,3
ʋ i0 g,3
ʋ æ0 ʋ,3
ʋ æ0 l,3
ʋ æ0 n,3
ʋ uː0 t̪,3
ʋ aː0 g,3
ʋ aː0,2
ʋ aː0 s,3
ʋ eː0 l s,4
ʋ eː0 l,3
ʋ o0 n,3
ʋ o0 ʈ,3
ʋ o0 s,3
ʋ u0 ɖ,3
ʋ u0 l f,4
ʋ u0 n,3
ʋ æː0 n,3
ʋ j aː0,3
ʋ j a0,3
ʋ oː0 l ʈ,4
ʋ oː0 l,3
ʋ oː0 n,3
ʋ oː0 g,3
ʋ oː0,2
ʋ m a0,3
ʋ s i0 n k,5
ʋ s i0 n d̪,5
ʋ s i0 n,4
ʋ ʈ a0,3
i0 n,2
i0,1
i0 ɖ,2
i0 b n,3
ʈ a0,2
ʈ a0 t̪,3
ʈ iː0,2
ʈ o0 n,3
ʈ o0 m,3
ʈ e0 s ʈ,4
ʈ e0 k s,4
ʈ e0 l,3
ʈ i0 n,3
ʈ i0,2
ʈ i0 m,3
ʈ u0,2
ʈ æ0 m,3
ʈ æ0 n g,4
ʈ æː0 n,3
ʈ eː0 s,3
ʈ eː0 l,3
ʈ oː0 l,3
ʈ r a0 k,4
ʈ r e0 s,4
ʈ r oː0,3
l a0 k,3
l a0 t̪,3
l a0,2
l a0 s ʈ,4
l aː0,2
l aː0 s,3
l aː0 n,3
l aː0 n s,4
l aː0 n k,4
l aː0 l,3
l aː0 ɖ n,4
l iː0,2
l iː0 g,3
l uː0 k,3
l uː0,2
l e0 n,3
l e0,2
l e0 s,3
l eː0,2
l eː0 k,3
l o0 m,3
l o0 s,3
l o0 t̪,3
l o0 k,3
l o0 l,3
l oː0,2
l oː0 ɖ,3
l oː0 ɖ s,4
l oː0 s,3
l i0,2
l i0 n,3
l æː0 n k,4
l æː0 n ɖ,4
l æ0 ʋ,3
l æ0 b,3
l u0,2
l u0 k,3
t̪ e0 l,3
t̪ e0 k,3
t̪ e0 t̪,3
t̪ e0 n,3
t̪ eː0,2
t̪ eː0 m s,4
t̪ u0 n,3
t̪ æ0 n,3
t̪ æ0 t̪,3
t̪ a0 t̪,3
t̪ a0,2
t̪ a0 l,3
t̪ i0 t̪,3
t̪ i0 s,3
t̪ aː0 k,3
t̪ aː0,2
t̪ o0 l,3
t̪ r i0,3
t̪ r a0,3
t̪ iː0,2
t̪ oː0,2
t̪ oː0 m s,4
s eː0,2
s iː0,2
s iː0 k,3
s iː0 l,3
s i0 t̪,3
s i0 ʋ,3
s i0,2
s i0 k,3
s i0 l k,4
s i0 n k,4
s i0 n d̪,4
s i0 n,3
s t̪ r iː0,4
s t̪ r iː0 n,5
s t̪ r i0,4
s e0 n,3
s e0 n ʈ,4
s e0,2
s e0 l,3
s e0 t̪,3
s e0 k,3
s a0,2
s a0 l,3
s a0 r,3
s a0 t̪,3
s a0 n,3
s a0 m,3
s a0 k,3
s a0 ʋ m,4
s æ0 n,3
s æ0 l,3
s æ0,2
s æ0 p,3
s k o0 ʈ,4
s k o0 ʃ,4
s k æː0 n,4
s k uː0 l,4
s k aː0 r,4
s k aː0 r l,5
s m i0 t̪,4
s m aː0 r k,5
s m aː0 r s,5
s m aː0 r ʈ,5
s ʋ a0,3
s ʋ i0 s,4
s u0 n,3
s u0,2
s r i0 g,4
s aː0,2
s aː0 k,3
s aː0 r,3
s ʈ iː0 ʋ,4
s ʈ iː0 l,4
s ʈ oː0 r s,5
s ʈ oː0 k,4
s ʈ aː0 r,4
s ʈ aː0 r s,5
s ʈ e0 p s,5
s æː0,2
s æː0 m,3
s oː0 l,3
s oː0,2
s oː0 s,3
s o0 n g,4
s o0 n ɖ,4
s o0 n,3
s o0 f ʈ,4
s p eː0 s,4
s p i0 n,4
s p aː0 k,4
s l æː0 m,4
s uː0,2
p uː0,2
p o0 t̪,3
p o0 l,3
p o0 p,3
p o0,2
p a0 s,3
p a0 ʋ,3
p a0,2
p a0 k,3
p a0 r,3
p a0 r l,4
p a0 r l ɖ,5
p a0 n,3
p a0 l,3
p u0,2
p u0 t̪,3
p u0 n,3
p r a0,3
p r aː0 g,4
p r i0 n ʈ,5
p r i0 n s,5
p r o0,3
p aː0,2
p aː0 p,3
p aː0 n,3
p aː0 s,3
p iː0,2
p oː0 l,3
p oː0 s ʈ,4
p oː0 k,3
p i0 n,3
p i0 g,3
p i0,2
p i0 l,3
p i0 tʃ,3
p i0 ʈ,3
p æː0,2
p æː0 n,3
p æ0 n,3
p æ0,2
p e0,2
p e0 m,3
p e0 n,3
p l æː0 n k,5
p l æː0 n ɖ,5
p l aː0 n,4
p l aː0 n s,5
p l aː0 n k,5
p ʋ aː0,3
p eː0 n,3
b uː0,2
b i0 m,3
b i0 l,3
b i0 n,3
b i0,2
b i0 g,3
b iː0,2
b iː0 tʃ,3
b æ0 ʋ,3
b æ0 tʃ,3
b æ0,2
b æ0 dʒ,3
b oː0,2
b oː0 l,3
b oː0 ɖ,3
b oː0 s,3
b oː0 r,3
b a0 s,3
b a0 t̪,3
b a0,2
b a0 n,3
b a0 r n,4
b a0 d̪ r,4
b u0 ʃ,3
b u0,2
b u0 k,3
b l o0 g,4
b l o0 k,4
b l æ0 k,4
b e0 l,3
b e0 n,3
b e0 s ʈ,4
b æː0,2
b æː0 g,3
b æː0 m,3
b eː0 s,3
b eː0,2
b o0 l,3
b o0 b,3
b o0 k s,4
b aː0,2
b aː0 l,3
b aː0 r,3
b aː0 t̪,3
b r eː0 s,4
b r eː0 l,4
b r eː0,3
b r i0,3
b r i0 dʒ,4
eː0 t̪,2
eː0 ɖ s,3
eː0 k,2
eː0 m,2
a0 l,2
a0 n,2
a0 t̪,2
a0,1
a0 s,2
a0 ɖ,2
a0 ʋ,2
a0 p,2
a0 k,2
a0 r,2
dʒ oː0 n,3
dʒ oː0 n s,4
dʒ oː0 r dʒ,4
dʒ oː0 dʒ,3
dʒ oː0,2
dʒ eː0 m s,4
dʒ eː0,2
dʒ eː0 n,3
dʒ eː0 ɖ,3
dʒ eː0 l,3
dʒ a0,2
dʒ aː0,2
dʒ e0 ʈ,3
dʒ e0 f,3
dʒ e0 l,3
dʒ iː0,2
dʒ iː0 n,3
dʒ o0 n,3
dʒ o0 r dʒ,4
dʒ o0 b s,4
dʒ i0 n,3
dʒ i0 m,3
dʒ æ0 k,3
dʒ uː0 l,3
dʒ u0 ɖ,3
dʒ u0,2
dʒ æː0 n s,4
dʒ æː0 m,3
dʒ æː0 s,3
aː0,1
aː0 r,2
aː0 n,2
ʃ r iː0,3
ʃ r i0,3
ʃ r oː0 f,4
ʃ aː0,2
ʃ aː0 n,3
ʃ u0,2
ʃ u0 n g,4
ʃ oː0,2
ʃ a0,2
ʃ a0 ɖ,3
ʃ a0 s,3
ʃ æ0 n g,4
ʃ eː0 n,3
ʃ e0 l,3
ʃ e0 n g,4
ʃ i0,2
ʃ j aː0 n,4
ʃ j aː0 n g,5
r æ0 s,3
r æ0 l f,4
r a0 n,3
r a0 t̪,3
r a0,2
r a0 m,3
r uː0,2
r uː0 t̪,3
r uː0 m,3
r u0,2
r u0 k,3
r u0 m,3
r u0 s,3
r aː0,2
r aː0 dʒ,3
r aː0 m,3
r æː0,2
r o0 n,3
r o0 k,3
r eː0,2
r eː0 l,3
r oː0 s,3
r oː0 ɖ,3
r oː0 l,3
r oː0,2
r i0 g,3
r i0 k,3
r i0 p,3
r i0 ʈ,3
r e0 ɖ,3
r iː0 ɖ,3
n æ0 ʋ,3
n i0 ʋ,3
n i0 ʋ s,4
n i0 l,3
n i0,2
n o0,2
n o0 k s,4
n o0 ʈ,3
n o0 ʋ,3
n æː0,2
n aː0,2
n aː0 s,3
n a0,2
n a0 n,3
n a0 m n,4
n uː0 l,3
n iː0 l,3
n iː0 l s,4
n iː0,2
n eː0,2
n e0 t̪,3
n e0 ʈ,3
n u0 l,3
n oː0,2
n oː0 r t̪,4
n oː0 ʈ,3
n m a0,3
n t̪ a0,3
e0,1
e0 n,2
e0 l,2
e0 s,2
e0 tʃ,2
e0 m,2
e0 f,2
e0 k s,3
e0 k t̪,3
ɖ iː0,2
ɖ iː0 n,3
ɖ i0,2
ɖ i0 k,3
ɖ o0,2
ɖ o0 ʈ,3
ɖ o0 ɖ,3
ɖ a0 b,3
ɖ a0,2
ɖ aː0,2
ɖ aː0 n s,4
ɖ aː0 ʈ,3
ɖ e0 s k,4
ɖ e0 l,3
ɖ eː0,2
ɖ r e0,3
ɖ uː0,2
ɖ uː0 m,3
o0 f,2
o0 n,2
o0,1
o0 ʋ,2
o0 ʋ n,3
o0 r,2
u0 s,2
